"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
31;1;"—";284;"95 100 89";0;"Участвуете в конкурсе";1257598;"29.06.2026 в 21:39"
32;1;"—";284;"97 98 89";0;"На рассмотрении";1431898;"03.07.2026 в 20:16"
33;1;"Электронное";284;"94 98 86";6;"Участвуете в конкурсе";1350675;"30.06.2026 в 18:19"
34;6;"—";283;"94 98 91";0;"Участвуете в конкурсе";1350760;"30.06.2026 в 18:20"
35;1;"—";283;"96 96 91";0;"На рассмотрении";1507944;"02.07.2026 в 18:49"
36;1;"—";283;"98 94 91";0;"На рассмотрении";1620401;"04.07.2026 в 22:05"
37;1;"—";283;"100 100 83";0;"Передано в вуз";1636308;"05.07.2026 в 13:35"
38;1;"—";282;"92 93 97";0;"Передано в вуз";1633909;"05.07.2026 в 12:20"
39;3;"—";282;"92 92 91";7;"Участвуете в конкурсе";1171729;"27.06.2026 в 15:26"
40;1;"—";282;"86 98 91";7;"На рассмотрении";1345355;"04.07.2026 в 16:32"
41;4;"—";282;"96 95 83";8;"Участвуете в конкурсе";1195073;"28.06.2026 в 14:29"
42;1;"—";282;"95 96 81";10;"На рассмотрении";1075698;"25.06.2026 в 23:10"
43;3;"—";282;"88 93 91";10;"Участвуете в конкурсе";1249200;"29.06.2026 в 21:28"
44;1;"—";281;"92 98 91";0;"Участвуете в конкурсе";1350447;"30.06.2026 в 18:15"
45;1;"—";281;"90 93 97";1;"На рассмотрении";1507977;"02.07.2026 в 18:49"
46;1;"—";281;"96 96 83";6;"Участвуете в конкурсе";1317844;"30.06.2026 в 12:28"
47;1;"—";281;"95 95 81";10;"Участвуете в конкурсе";1000501;"21.06.2026 в 18:43"
48;3;"—";280;"99 90 91";0;"Участвуете в конкурсе";1426649;"01.07.2026 в 17:54"
49;2;"—";280;"95 93 91";1;"На рассмотрении";1463535;"02.07.2026 в 22:33"
50;1;"—";280;"97 88 94";1;"На рассмотрении";1472422;"02.07.2026 в 12:22"
51;2;"—";279;"100 90 89";0;"На рассмотрении";1519860;"02.07.2026 в 23:08"
52;1;"—";279;"100 88 91";0;"Передано в вуз";1629285;"05.07.2026 в 07:36"
53;1;"Электронное";279;"92 93 94";0;"Передано в вуз";1636380;"05.07.2026 в 13:37"
54;1;"—";279;"92 95 91";1;"На рассмотрении";1627815;"05.07.2026 в 00:33"
55;1;"—";278;"94 90 94";0;"Участвуете в конкурсе";1198440;"28.06.2026 в 15:48"
56;1;"—";278;"95 94 89";0;"Участвуете в конкурсе";1386717;"01.07.2026 в 11:19"
57;5;"—";278;"99 90 89";0;"На рассмотрении";1408053;"02.07.2026 в 19:38"
58;1;"—";278;"97 98 83";0;"Передано в вуз";1533241;"05.07.2026 в 13:38"
59;3;"—";278;"94 93 91";0;"На рассмотрении";1617578;"04.07.2026 в 17:15"
60;1;"—";278;"90 93 89";6;"На рассмотрении";1303437;"30.06.2026 в 10:04"
61;1;"—";278;"88 98 86";6;"Участвуете в конкурсе";1428301;"01.07.2026 в 18:21"
62;1;"—";277;"96 98 83";0;"Участвуете в конкурсе";1093386;"29.06.2026 в 21:38"
63;1;"—";277;"99 100 78";0;"Участвуете в конкурсе";1275371;"29.06.2026 в 21:57"
64;1;"—";277;"90 98 89";0;"На рассмотрении";1503956;"04.07.2026 в 12:55"
65;1;"—";277;"95 88 94";0;"На рассмотрении";1561792;"03.07.2026 в 17:57"
66;5;"—";277;"92 94 91";0;"Передано в вуз";1632848;"05.07.2026 в 11:42"
67;6;"—";277;"92 88 91";6;"Участвуете в конкурсе";1184363;"28.06.2026 в 08:35"
68;4;"—";276;"92 90 94";0;"Участвуете в конкурсе";961863;"20.06.2026 в 12:24"
69;2;"—";276;"94 96 86";0;"Участвуете в конкурсе";1178860;"29.06.2026 в 22:04"
70;3;"—";276;"92 93 91";0;"На рассмотрении";1592508;"04.07.2026 в 09:31"
71;2;"—";276;"88 98 89";1;"Передано в вуз";1632012;"05.07.2026 в 11:05"
72;4;"—";276;"88 93 89";6;"Участвуете в конкурсе";1176581;"27.06.2026 в 18:51"
73;2;"—";275;"96 98 81";0;"Конкурсная группа исключена";1212062;"02.07.2026 в 14:59"
74;1;"—";275;"92 100 83";0;"Участвуете в конкурсе";1269485;"01.07.2026 в 18:35"
75;1;"—";275;"94 95 86";0;"Участвуете в конкурсе";1454148;"02.07.2026 в 09:14"
76;1;"—";275;"88 93 94";0;"На рассмотрении";1565220;"03.07.2026 в 18:11"
77;4;"—";275;"96 93 86";0;"На рассмотрении";1574054;"03.07.2026 в 18:50"
78;2;"—";275;"90 90 89";6;"Участвуете в конкурсе";940742;"20.06.2026 в 06:19"
79;1;"Электронное";275;"88 98 83";6;"Участвуете в конкурсе";1279350;"29.06.2026 в 21:59"
80;1;"—";275;"92 88 89";6;"На рассмотрении";1415246;"01.07.2026 в 15:36"
81;4;"—";275;"92 95 78";10;"Участвуете в конкурсе";1078179;"24.06.2026 в 00:46"
82;2;"—";275;"86 93 86";10;"Участвуете в конкурсе";1256206;"29.06.2026 в 21:37"
83;4;"—";274;"97 96 81";0;"Конкурсная группа исключена";1348931;"02.07.2026 в 11:27"
84;6;"—";274;"94 93 81";6;"Участвуете в конкурсе";1314987;"30.06.2026 в 12:01"
85;4;"—";273;"84 95 94";0;"Участвуете в конкурсе";1398817;"01.07.2026 в 13:08"
86;2;"—";273;"94 98 81";0;"На рассмотрении";1619131;"04.07.2026 в 18:00"
87;1;"—";273;"88 93 86";6;"Участвуете в конкурсе";1203496;"28.06.2026 в 17:53"
88;2;"—";273;"88 93 86";6;"Участвуете в конкурсе";1430542;"01.07.2026 в 18:58"
89;4;"—";273;"92 88 83";10;"Участвуете в конкурсе";1205545;"28.06.2026 в 18:51"
90;1;"—";272;"95 88 89";0;"На рассмотрении";1391829;"02.07.2026 в 18:09"
91;1;"—";272;"88 92 86";6;"На рассмотрении";1502383;"02.07.2026 в 17:17"
92;3;"—";272;"88 83 94";7;"Участвуете в конкурсе";1257161;"29.06.2026 в 21:38"
93;3;"—";272;"86 90 86";10;"Участвуете в конкурсе";1189850;"28.06.2026 в 12:23"
94;1;"—";272;"86 82 94";10;"Участвуете в конкурсе";1436752;"01.07.2026 в 20:50"
95;1;"—";271;"92 93 86";0;"Участвуете в конкурсе";947162;"21.06.2026 в 00:11"
96;1;"—";271;"90 100 81";0;"Участвуете в конкурсе";1347769;"30.06.2026 в 17:33"
97;5;"—";271;"90 90 91";0;"На рассмотрении";1526244;"03.07.2026 в 07:46"
98;6;"—";271;"94 88 89";0;"На рассмотрении";1620543;"04.07.2026 в 18:49"
99;1;"—";271;"86 98 86";1;"Участвуете в конкурсе";1408154;"01.07.2026 в 14:31"
100;1;"—";271;"92 100 78";1;"На рассмотрении";1554856;"03.07.2026 в 21:02"
101;3;"—";271;"95 98 72";6;"Участвуете в конкурсе";1343817;"30.06.2026 в 19:11"
102;1;"—";270;"84 95 91";0;"На рассмотрении";1475366;"02.07.2026 в 12:48"
103;2;"—";270;"94 90 86";0;"Передано в вуз";1630496;"05.07.2026 в 09:37"
104;1;"Электронное";270;"92 95 83";0;"Передано в вуз";1637110;"05.07.2026 в 13:57"
105;1;"—";270;"84 95 91";0;"Передано в вуз";1637362;"05.07.2026 в 14:05"
106;1;"—";270;"88 95 86";1;"Участвуете в конкурсе";1196121;"28.06.2026 в 14:55"
107;1;"Электронное";270;"94 96 73";7;"Участвуете в конкурсе";1205035;"28.06.2026 в 18:37"
108;1;"—";269;"95 88 86";0;"На рассмотрении";1342817;"02.07.2026 в 16:56"
109;1;"—";269;"80 98 91";0;"Участвуете в конкурсе";1425280;"01.07.2026 в 17:33"
110;1;"Электронное";269;"95 93 81";0;"На рассмотрении";1583411;"03.07.2026 в 22:09"
111;1;"—";269;"82 93 94";0;"На рассмотрении";1616298;"04.07.2026 в 16:40"
112;1;"—";269;"92 95 81";1;"Участвуете в конкурсе";1441879;"01.07.2026 в 22:35"
113;1;"—";269;"90 93 83";3;"На рассмотрении";1431834;"04.07.2026 в 11:04"
114;1;"Электронное";268;"90 92 86";0;"Участвуете в конкурсе";1108543;"25.06.2026 в 06:00"
115;1;"—";268;"97 88 83";0;"Участвуете в конкурсе";1357072;"30.06.2026 в 20:14"
116;1;"—";268;"97 88 83";0;"Участвуете в конкурсе";1376265;"01.07.2026 в 09:26"
117;3;"—";268;"92 95 81";0;"Участвуете в конкурсе";1386463;"01.07.2026 в 11:17"
118;3;"—";268;"94 83 91";0;"Участвуете в конкурсе";1425437;"01.07.2026 в 17:35"
119;1;"—";268;"84 98 86";0;"На рассмотрении";1519188;"02.07.2026 в 22:49"
120;4;"—";268;"92 98 78";0;"Конкурсная группа исключена";1525013;"03.07.2026 в 14:02"
121;5;"—";268;"88 94 86";0;"На рассмотрении";1608013;"04.07.2026 в 13:42"
122;1;"—";268;"88 80 100";0;"На рассмотрении";1609482;"04.07.2026 в 14:09"
123;7;"—";268;"94 95 78";1;"Участвуете в конкурсе";1239792;"29.06.2026 в 21:18"
124;5;"—";268;"84 86 97";1;"На рассмотрении";1460129;"02.07.2026 в 10:26"
125;7;"—";268;"82 83 97";6;"Участвуете в конкурсе";1360566;"30.06.2026 в 21:26"
126;3;"—";267;"96 88 83";0;"Участвуете в конкурсе";1431493;"01.07.2026 в 19:15"
127;5;"—";267;"82 85 100";0;"На рассмотрении";1506304;"02.07.2026 в 18:19"
128;6;"—";267;"82 95 89";1;"На рассмотрении";1586859;"04.07.2026 в 01:10"
129;2;"—";267;"95 90 81";1;"На рассмотрении";1626807;"04.07.2026 в 23:14"
130;1;"—";267;"84 94 83";6;"Участвуете в конкурсе";1316550;"30.06.2026 в 15:53"
131;1;"—";267;"90 90 81";6;"Участвуете в конкурсе";1359083;"30.06.2026 в 20:55"
132;2;"—";266;"84 88 94";0;"Участвуете в конкурсе";1222562;"29.06.2026 в 08:56"
133;3;"—";266;"97 88 81";0;"Участвуете в конкурсе";1286267;"30.06.2026 в 13:29"
134;5;"—";266;"90 85 91";0;"Участвуете в конкурсе";1428621;"01.07.2026 в 18:26"
135;6;"—";266;"98 85 83";0;"На рассмотрении";1445477;"02.07.2026 в 00:38"
136;2;"—";266;"82 93 91";0;"На рассмотрении";1494837;"02.07.2026 в 15:49"
137;1;"—";266;"92 93 81";0;"На рассмотрении";1570972;"03.07.2026 в 18:36"
138;2;"—";266;"90 90 86";0;"На рассмотрении";1598750;"04.07.2026 в 11:17"
139;1;"—";266;"95 93 78";0;"На рассмотрении";1612262;"04.07.2026 в 15:05"
140;4;"—";266;"88 88 89";1;"Участвуете в конкурсе";1424502;"01.07.2026 в 17:22"
141;6;"—";266;"86 93 86";1;"На рассмотрении";1585601;"03.07.2026 в 23:37"
142;1;"—";266;"90 93 78";5;"Участвуете в конкурсе";1126213;"25.06.2026 в 16:41"
143;7;"—";266;"84 98 78";6;"Участвуете в конкурсе";1317986;"30.06.2026 в 12:29"
144;3;"—";266;"86 83 91";6;"Участвуете в конкурсе";1444491;"01.07.2026 в 23:51"
145;1;"—";265;"94 96 75";0;"Участвуете в конкурсе";1330588;"30.06.2026 в 15:15"
146;6;"—";265;"84 95 86";0;"На рассмотрении";1470771;"02.07.2026 в 12:06"
147;3;"—";265;"88 85 91";1;"Участвуете в конкурсе";1351711;"30.06.2026 в 18:37"
148;5;"—";265;"90 88 86";1;"Передано в вуз";1529416;"05.07.2026 в 14:35"
149;2;"—";265;"86 100 78";1;"На рассмотрении";1605297;"04.07.2026 в 12:56"
150;1;"—";265;"82 88 89";6;"Участвуете в конкурсе";1263926;"29.06.2026 в 21:48"
151;1;"Электронное";265;"86 100 73";6;"На рассмотрении";1303097;"30.06.2026 в 11:31"
152;5;"—";264;"96 90 78";0;"Участвуете в конкурсе";1259663;"29.06.2026 в 21:42"
153;1;"—";264;"98 88 78";0;"На рассмотрении";1409331;"01.07.2026 в 14:42"
154;4;"—";264;"88 90 86";0;"На рассмотрении";1474350;"02.07.2026 в 12:45"
155;2;"Электронное";264;"80 93 91";0;"На рассмотрении";1587140;"04.07.2026 в 01:51"
156;3;"—";264;"92 98 73";1;"Участвуете в конкурсе";1100870;"25.06.2026 в 08:03"
157;2;"—";264;"86 83 94";1;"Участвуете в конкурсе";1178815;"27.06.2026 в 20:40"
158;1;"—";264;"92 88 83";1;"На рассмотрении";1504826;"02.07.2026 в 17:54"
159;2;"Электронное";264;"97 80 81";6;"На рассмотрении";1597166;"04.07.2026 в 10:53"
160;6;"—";264;"82 86 89";7;"Участвуете в конкурсе";1310716;"30.06.2026 в 11:20"
161;3;"—";264;"88 88 81";7;"Участвуете в конкурсе";1335787;"02.07.2026 в 12:25"
162;6;"—";264;"86 85 86";7;"Участвуете в конкурсе";1360291;"30.06.2026 в 21:19"
163;4;"—";263;"84 93 86";0;"На рассмотрении";1252945;"29.06.2026 в 21:33"
164;5;"—";263;"90 90 83";0;"Участвуете в конкурсе";1277775;"01.07.2026 в 08:29"
165;4;"—";263;"86 88 89";0;"Участвуете в конкурсе";1404872;"01.07.2026 в 17:47"
166;1;"—";263;"84 88 91";0;"Участвуете в конкурсе";1432270;"01.07.2026 в 19:29"
167;6;"—";263;"95 90 78";0;"Участвуете в конкурсе";1453433;"02.07.2026 в 09:01"
168;1;"Электронное";263;"84 90 89";0;"На рассмотрении";1498901;"02.07.2026 в 16:34"
169;5;"—";263;"84 90 89";0;"На рассмотрении";1578870;"03.07.2026 в 19:54"
170;2;"—";263;"86 94 83";0;"На рассмотрении";1624280;"04.07.2026 в 21:10"
171;5;"—";263;"82 95 81";5;"Участвуете в конкурсе";1221044;"29.06.2026 в 08:20"
172;7;"—";263;"78 90 89";6;"Участвуете в конкурсе";1449438;"02.07.2026 в 07:02"
173;1;"Электронное";263;"96 88 72";7;"Участвуете в конкурсе";1426223;"01.07.2026 в 17:47"
174;1;"—";262;"86 90 86";0;"Участвуете в конкурсе";946916;"20.06.2026 в 10:20"
175;1;"—";262;"96 83 83";0;"На рассмотрении";1600676;"04.07.2026 в 11:46"
176;4;"—";262;"90 85 81";6;"Участвуете в конкурсе";1235070;"29.06.2026 в 21:13"
177;3;"—";262;"80 85 91";6;"Участвуете в конкурсе";1375343;"01.07.2026 в 09:31"
178;1;"—";261;"82 88 91";0;"Участвуете в конкурсе";947751;"27.06.2026 в 19:11"
179;1;"Электронное";261;"80 100 81";0;"Участвуете в конкурсе";1315148;"30.06.2026 в 12:02"
180;6;"—";261;"82 90 89";0;"На рассмотрении";1502847;"02.07.2026 в 17:24"
181;4;"—";261;"88 90 83";0;"На рассмотрении";1604933;"04.07.2026 в 20:48"
182;2;"—";261;"82 88 91";0;"На рассмотрении";1614822;"04.07.2026 в 16:03"
183;1;"Электронное";261;"86 78 97";0;"Передано в вуз";1635589;"05.07.2026 в 13:16"
184;3;"—";261;"88 83 89";1;"Участвуете в конкурсе";1192437;"28.06.2026 в 13:28"
185;2;"—";261;"94 88 78";1;"На рассмотрении";1506914;"02.07.2026 в 18:30"
186;4;"—";261;"84 93 83";1;"На рассмотрении";1592308;"04.07.2026 в 09:27"
187;5;"—";261;"84 88 83";6;"На рассмотрении";1495131;"02.07.2026 в 15:52"
188;5;"—";261;"82 83 89";7;"Участвуете в конкурсе";1363973;"30.06.2026 в 22:45"
189;1;"—";260;"88 83 89";0;"На рассмотрении";997910;"03.07.2026 в 19:34"
190;1;"—";260;"92 85 83";0;"На рассмотрении";1460986;"02.07.2026 в 10:35"
191;1;"—";260;"84 85 91";0;"На рассмотрении";1580433;"03.07.2026 в 20:37"
192;1;"—";260;"84 95 81";0;"На рассмотрении";1621297;"04.07.2026 в 19:14"
193;1;"—";260;"88 88 83";1;"На рассмотрении";1577294;"03.07.2026 в 19:12"
194;3;"Электронное";260;"94 83 81";2;"Участвуете в конкурсе";1261506;"29.06.2026 в 21:45"
195;5;"—";260;"80 94 83";3;"На рассмотрении";1061958;"23.06.2026 в 14:09"
196;3;"—";260;"74 83 97";6;"Участвуете в конкурсе";1220958;"29.06.2026 в 08:18"
197;1;"—";260;"90 78 86";6;"Участвуете в конкурсе";1248476;"29.06.2026 в 21:28"
198;3;"—";260;"90 85 78";7;"Участвуете в конкурсе";1241208;"29.06.2026 в 21:19"
199;5;"—";260;"80 90 83";7;"Участвуете в конкурсе";1286472;"29.06.2026 в 22:05"
200;1;"—";259;"90 88 81";0;"Участвуете в конкурсе";1176022;"30.06.2026 в 06:26"
201;1;"—";259;"90 88 81";0;"Участвуете в конкурсе";1261054;"29.06.2026 в 21:44"
202;1;"—";259;"90 83 86";0;"Участвуете в конкурсе";1290326;"29.06.2026 в 23:27"
203;4;"—";259;"86 90 83";0;"Участвуете в конкурсе";1315435;"30.06.2026 в 12:05"
204;1;"—";259;"94 95 70";0;"На рассмотрении";1590129;"04.07.2026 в 08:20"
205;5;"—";259;"84 92 83";0;"Передано в вуз";1633684;"05.07.2026 в 12:12"
206;1;"Электронное";259;"86 85 83";5;"На рассмотрении";1456749;"02.07.2026 в 09:48"
207;7;"—";259;"86 85 81";7;"Участвуете в конкурсе";1206914;"28.06.2026 в 19:28"
208;2;"—";258;"98 88 72";0;"Конкурсная группа исключена";1265681;"29.06.2026 в 21:50"
209;2;"—";258;"84 85 89";0;"Участвуете в конкурсе";1354170;"30.06.2026 в 19:20"
210;1;"Электронное";258;"82 90 86";0;"Участвуете в конкурсе";1430477;"01.07.2026 в 18:57"
211;1;"—";258;"92 80 86";0;"Участвуете в конкурсе";1443835;"01.07.2026 в 23:29"
212;4;"Электронное";258;"95 80 83";0;"На рассмотрении";1453447;"02.07.2026 в 17:21"
213;2;"—";258;"84 83 91";0;"На рассмотрении";1474096;"02.07.2026 в 12:37"
214;3;"—";258;"84 83 91";0;"На рассмотрении";1507348;"02.07.2026 в 18:38"
215;1;"Электронное";258;"90 85 83";0;"На рассмотрении";1537494;"03.07.2026 в 10:53"
216;3;"—";258;"88 86 83";1;"Участвуете в конкурсе";1190439;"28.06.2026 в 12:39"
217;3;"—";258;"80 88 89";1;"Участвуете в конкурсе";1313965;"30.06.2026 в 11:51"
218;4;"—";258;"84 90 83";1;"На рассмотрении";1419781;"02.07.2026 в 16:50"
219;4;"—";258;"86 83 83";6;"На рассмотрении";1603967;"04.07.2026 в 12:35"
220;2;"—";258;"90 72 89";7;"На рассмотрении";1389728;"01.07.2026 в 11:47"
221;1;"—";257;"84 90 83";0;"Участвуете в конкурсе";1212475;"28.06.2026 в 22:12"
222;1;"—";257;"98 90 69";0;"На рассмотрении";1258631;"02.07.2026 в 23:13"
223;2;"—";257;"86 90 81";0;"Участвуете в конкурсе";1263440;"29.06.2026 в 21:48"
224;4;"—";257;"92 95 70";0;"Участвуете в конкурсе";1385051;"01.07.2026 в 11:04"
225;1;"—";257;"80 94 83";0;"На рассмотрении";1508901;"02.07.2026 в 19:06"
226;4;"—";257;"94 85 78";0;"На рассмотрении";1511050;"02.07.2026 в 19:50"
227;4;"—";257;"92 90 75";0;"На рассмотрении";1542655;"03.07.2026 в 14:04"
228;1;"—";257;"92 93 72";0;"На рассмотрении";1559195;"03.07.2026 в 17:44"
229;2;"—";257;"86 93 78";0;"Конкурсная группа исключена";1592353;"04.07.2026 в 10:00"
230;2;"—";257;"78 96 83";0;"Передано в вуз";1631437;"05.07.2026 в 10:38"
231;4;"—";257;"88 85 83";1;"Участвуете в конкурсе";1263045;"29.06.2026 в 21:47"
232;1;"Электронное";257;"84 83 89";1;"На рассмотрении";1608684;"04.07.2026 в 13:54"
233;1;"—";257;"80 93 83";1;"На рассмотрении";1617815;"04.07.2026 в 17:22"
234;4;"—";257;"78 90 83";6;"Участвуете в конкурсе";1434589;"01.07.2026 в 20:11"
235;2;"—";257;"78 83 89";7;"Участвуете в конкурсе";1242331;"29.06.2026 в 21:20"
236;2;"—";257;"84 88 75";10;"Участвуете в конкурсе";1378133;"01.07.2026 в 09:51"
237;1;"Электронное";256;"86 95 75";0;"Участвуете в конкурсе";941740;"20.06.2026 в 07:10"
238;1;"—";256;"84 78 94";0;"Участвуете в конкурсе";1183240;"29.06.2026 в 21:56"
239;1;"—";256;"82 88 86";0;"Участвуете в конкурсе";1236642;"29.06.2026 в 21:15"
240;7;"—";256;"92 83 81";0;"Участвуете в конкурсе";1326717;"30.06.2026 в 13:59"
241;1;"—";256;"90 85 81";0;"На рассмотрении";1523620;"03.07.2026 в 04:54"
242;1;"—";256;"82 83 91";0;"На рассмотрении";1601367;"04.07.2026 в 11:55"
243;5;"—";256;"80 93 83";0;"На рассмотрении";1612686;"04.07.2026 в 15:13"
244;1;"—";256;"88 78 89";1;"На рассмотрении";1599687;"04.07.2026 в 12:08"
245;1;"Электронное";256;"92 72 86";6;"Участвуете в конкурсе";1241596;"29.06.2026 в 21:20"
246;1;"—";256;"95 90 64";7;"Участвуете в конкурсе";947892;"22.06.2026 в 13:35"
247;2;"—";256;"80 80 89";7;"Участвуете в конкурсе";1262236;"29.06.2026 в 21:46"
248;3;"—";255;"92 80 83";0;"Участвуете в конкурсе";1235082;"29.06.2026 в 21:13"
249;5;"—";255;"84 88 83";0;"На рассмотрении";1245817;"03.07.2026 в 14:55"
250;3;"Электронное";255;"82 95 78";0;"Участвуете в конкурсе";1363358;"30.06.2026 в 22:29"
251;2;"Электронное";255;"86 83 86";0;"Участвуете в конкурсе";1367250;"01.07.2026 в 01:01"
252;4;"—";255;"92 80 83";0;"Участвуете в конкурсе";1395836;"01.07.2026 в 12:41"
253;7;"—";255;"80 88 86";1;"На рассмотрении";1511380;"02.07.2026 в 19:56"
254;5;"—";255;"78 85 86";6;"На рассмотрении";1264547;"29.06.2026 в 21:49"
255;1;"—";255;"84 83 78";10;"Участвуете в конкурсе";1319659;"30.06.2026 в 12:44"
256;3;"—";254;"86 85 83";0;"Передано в вуз";1329410;"05.07.2026 в 14:36"
257;5;"—";254;"86 85 83";0;"На рассмотрении";1626491;"05.07.2026 в 00:11"
258;5;"—";254;"92 75 81";6;"Конкурсная группа исключена";1393907;"01.07.2026 в 12:25"
259;6;"—";254;"86 90 72";6;"На рассмотрении";1494974;"02.07.2026 в 15:50"
260;3;"—";254;"82 90 72";10;"Участвуете в конкурсе";1185004;"28.06.2026 в 09:21"
261;2;"—";253;"96 84 73";0;"Участвуете в конкурсе";1119243;"25.06.2026 в 12:59"
262;5;"—";253;"97 90 66";0;"На рассмотрении";1169559;"27.06.2026 в 14:08"
263;4;"—";253;"80 90 83";0;"Передано в вуз";1187443;"05.07.2026 в 11:03"
264;3;"—";253;"84 88 81";0;"Участвуете в конкурсе";1319734;"30.06.2026 в 12:45"
265;3;"—";253;"95 86 72";0;"На рассмотрении";1528680;"03.07.2026 в 08:56"
266;7;"—";252;"78 88 86";0;"Участвуете в конкурсе";1191712;"02.07.2026 в 08:41"
267;6;"—";252;"86 83 83";0;"На рассмотрении";1320213;"02.07.2026 в 18:57"
268;2;"—";252;"99 92 61";0;"Участвуете в конкурсе";1343545;"30.06.2026 в 16:36"
269;6;"—";252;"86 80 86";0;"На рассмотрении";1350020;"02.07.2026 в 14:18"
270;6;"—";252;"80 94 78";0;"Участвуете в конкурсе";1430428;"01.07.2026 в 18:56"
271;1;"—";252;"86 88 78";0;"Участвуете в конкурсе";1444788;"02.07.2026 в 00:02"
272;5;"—";252;"84 85 83";0;"На рассмотрении";1571621;"03.07.2026 в 18:38"
273;3;"Электронное";252;"88 94 70";0;"На рассмотрении";1579909;"03.07.2026 в 20:22"
274;4;"—";252;"90 75 86";1;"На рассмотрении";1569379;"03.07.2026 в 18:29"
275;4;"—";252;"80 85 86";1;"На рассмотрении";1611612;"04.07.2026 в 15:14"
276;1;"—";252;"82 88 81";1;"На рассмотрении";1624332;"04.07.2026 в 21:12"
277;3;"—";252;"84 83 78";7;"Участвуете в конкурсе";1435271;"01.07.2026 в 20:23"
278;1;"—";252;"86 75 81";10;"Участвуете в конкурсе";1043248;"22.06.2026 в 23:03"
279;6;"—";251;"82 83 86";0;"Передано в вуз";1188042;"05.07.2026 в 09:16"
280;4;"Электронное";251;"90 78 83";0;"Участвуете в конкурсе";1195471;"28.06.2026 в 14:39"
281;3;"—";251;"80 93 78";0;"Конкурсная группа исключена";1260401;"29.06.2026 в 21:43"
282;3;"—";251;"80 80 91";0;"На рассмотрении";1488778;"02.07.2026 в 14:50"
283;1;"—";251;"84 75 86";6;"Участвуете в конкурсе";1186375;"28.06.2026 в 10:30"
284;1;"—";251;"76 85 83";7;"Участвуете в конкурсе";1355879;"30.06.2026 в 19:51"
