"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
113;1;"—";266;"92 85 83";6;"Участвуете в конкурсе";946577;"22.06.2026 в 21:15"
114;3;"—";266;"86 80 94";6;"Участвуете в конкурсе";1304740;"30.06.2026 в 10:19"
115;4;"—";266;"84 98 78";6;"Участвуете в конкурсе";1317986;"30.06.2026 в 12:29"
116;7;"—";266;"86 83 91";6;"Участвуете в конкурсе";1444491;"01.07.2026 в 23:51"
117;4;"—";266;"90 75 91";10;"Участвуете в конкурсе";1201995;"28.06.2026 в 17:13"
118;5;"—";266;"92 94 70";10;"На рассмотрении";1593381;"04.07.2026 в 09:48"
119;1;"—";265;"84 95 86";0;"На рассмотрении";1470771;"02.07.2026 в 12:06"
120;5;"—";265;"92 90 83";0;"На рассмотрении";1563870;"03.07.2026 в 18:05"
121;4;"—";265;"86 90 89";0;"На рассмотрении";1624767;"04.07.2026 в 21:32"
122;4;"—";265;"88 85 91";1;"Участвуете в конкурсе";1351711;"30.06.2026 в 18:37"
123;4;"—";265;"90 88 86";1;"Передано в вуз";1529416;"05.07.2026 в 14:35"
124;5;"—";265;"86 100 78";1;"На рассмотрении";1605297;"04.07.2026 в 12:56"
125;5;"—";265;"88 95 81";1;"Передано в вуз";1633627;"05.07.2026 в 12:10"
126;3;"—";265;"82 88 89";6;"Участвуете в конкурсе";1263926;"29.06.2026 в 21:48"
127;3;"Электронное";265;"84 88 86";7;"Участвуете в конкурсе";1187173;"28.06.2026 в 11:01"
128;2;"Электронное";265;"82 85 91";7;"Участвуете в конкурсе";1258746;"29.06.2026 в 21:41"
129;3;"—";265;"84 85 89";7;"Участвуете в конкурсе";1315654;"30.06.2026 в 12:08"
130;6;"—";264;"95 88 81";0;"На рассмотрении";1268565;"02.07.2026 в 19:03"
131;3;"—";264;"88 90 86";0;"На рассмотрении";1474350;"02.07.2026 в 12:45"
132;3;"—";264;"88 93 83";0;"На рассмотрении";1503363;"02.07.2026 в 17:32"
133;3;"Электронное";264;"80 93 91";0;"На рассмотрении";1587140;"04.07.2026 в 01:51"
134;7;"—";264;"86 83 94";1;"Участвуете в конкурсе";1178815;"27.06.2026 в 20:40"
135;5;"—";264;"84 90 89";1;"На рассмотрении";1487062;"04.07.2026 в 19:13"
136;2;"—";264;"95 85 83";1;"На рассмотрении";1548552;"03.07.2026 в 16:57"
137;3;"—";264;"86 94 83";1;"На рассмотрении";1598079;"04.07.2026 в 11:07"
138;4;"Электронное";264;"90 90 78";6;"Участвуете в конкурсе";1200770;"28.06.2026 в 16:43"
139;4;"—";264;"84 85 89";6;"На рассмотрении";1270590;"29.06.2026 в 21:55"
140;2;"Электронное";264;"86 83 89";6;"Участвуете в конкурсе";1336426;"30.06.2026 в 15:22"
141;3;"Электронное";264;"86 100 72";6;"Участвуете в конкурсе";1431327;"01.07.2026 в 19:12"
142;6;"—";264;"84 93 81";6;"Участвуете в конкурсе";1449332;"02.07.2026 в 06:57"
143;5;"—";264;"80 83 94";7;"Участвуете в конкурсе";1191044;"28.06.2026 в 12:54"
144;4;"—";264;"86 90 81";7;"Участвуете в конкурсе";1200711;"28.06.2026 в 16:41"
145;4;"—";264;"82 86 89";7;"Участвуете в конкурсе";1310716;"30.06.2026 в 11:20"
146;5;"—";264;"86 85 86";7;"Участвуете в конкурсе";1360291;"30.06.2026 в 21:19"
147;2;"—";264;"80 83 94";7;"Участвуете в конкурсе";1434546;"01.07.2026 в 20:10"
148;5;"—";264;"84 90 81";9;"На рассмотрении";1461080;"02.07.2026 в 10:36"
149;5;"—";263;"84 93 86";0;"На рассмотрении";1252945;"29.06.2026 в 21:33"
150;6;"—";263;"90 90 83";0;"Участвуете в конкурсе";1277775;"01.07.2026 в 08:29"
151;7;"Электронное";263;"92 88 83";0;"Участвуете в конкурсе";1309872;"30.06.2026 в 11:12"
152;3;"—";263;"98 93 72";0;"Участвуете в конкурсе";1347553;"30.06.2026 в 17:30"
153;3;"Электронное";263;"90 98 75";0;"На рассмотрении";1366204;"02.07.2026 в 20:00"
154;2;"Электронное";263;"90 90 83";0;"Участвуете в конкурсе";1387356;"01.07.2026 в 11:25"
155;2;"—";263;"84 88 91";0;"Участвуете в конкурсе";1432270;"01.07.2026 в 19:29"
156;2;"—";263;"82 95 86";0;"На рассмотрении";1510245;"02.07.2026 в 19:33"
157;3;"—";263;"90 90 83";0;"На рассмотрении";1539648;"03.07.2026 в 13:59"
158;6;"—";263;"84 90 89";0;"На рассмотрении";1578870;"03.07.2026 в 19:54"
159;3;"—";263;"86 94 83";0;"На рассмотрении";1624280;"04.07.2026 в 21:10"
160;6;"—";263;"94 85 83";1;"На рассмотрении";1620290;"04.07.2026 в 18:41"
161;6;"—";263;"78 90 89";6;"Участвуете в конкурсе";1449438;"02.07.2026 в 07:02"
162;1;"—";263;"80 88 89";6;"На рассмотрении";1584195;"03.07.2026 в 22:37"
163;5;"Электронное";263;"96 88 72";7;"Участвуете в конкурсе";1426223;"01.07.2026 в 17:47"
164;7;"Электронное";263;"80 100 73";10;"Участвуете в конкурсе";943117;"21.06.2026 в 10:36"
165;7;"—";262;"86 90 86";0;"Участвуете в конкурсе";946916;"20.06.2026 в 10:20"
166;1;"Электронное";262;"84 78 100";0;"Участвуете в конкурсе";1174172;"27.06.2026 в 17:11"
167;3;"—";262;"92 100 70";0;"Участвуете в конкурсе";1284389;"29.06.2026 в 22:02"
168;1;"—";262;"80 93 89";0;"На рассмотрении";1496450;"02.07.2026 в 16:06"
169;3;"—";262;"96 83 83";0;"На рассмотрении";1600676;"04.07.2026 в 11:46"
170;3;"—";262;"95 83 83";1;"Участвуете в конкурсе";1337701;"30.06.2026 в 15:32"
171;7;"—";262;"90 85 81";6;"Участвуете в конкурсе";1235070;"29.06.2026 в 21:13"
172;5;"—";262;"80 95 81";6;"Участвуете в конкурсе";1343048;"30.06.2026 в 16:30"
173;2;"—";262;"84 80 91";7;"На рассмотрении";1289245;"03.07.2026 в 18:25"
174;4;"—";262;"84 85 86";7;"Участвуете в конкурсе";1407227;"01.07.2026 в 14:24"
175;5;"Электронное";261;"100 78 83";0;"Конкурсная группа исключена";987797;"23.06.2026 в 09:02"
176;2;"—";261;"82 90 89";0;"Участвуете в конкурсе";1233637;"29.06.2026 в 21:12"
177;4;"—";261;"96 93 72";0;"Участвуете в конкурсе";1338528;"30.06.2026 в 15:40"
178;5;"—";261;"88 90 83";0;"На рассмотрении";1344407;"02.07.2026 в 22:05"
179;4;"—";261;"82 90 89";0;"На рассмотрении";1502847;"02.07.2026 в 17:24"
180;5;"—";261;"88 90 83";0;"На рассмотрении";1604933;"04.07.2026 в 20:48"
181;3;"—";261;"82 88 91";0;"На рассмотрении";1614822;"04.07.2026 в 16:03"
182;5;"Электронное";261;"86 78 97";0;"Передано в вуз";1635589;"05.07.2026 в 13:16"
183;5;"—";261;"94 88 78";1;"На рассмотрении";1506914;"02.07.2026 в 18:30"
184;7;"—";261;"84 93 83";1;"На рассмотрении";1592308;"04.07.2026 в 09:27"
185;3;"—";261;"78 88 94";1;"На рассмотрении";1627326;"04.07.2026 в 23:50"
186;4;"—";261;"86 85 89";1;"Передано в вуз";1636048;"05.07.2026 в 13:29"
187;4;"—";261;"85 90 80";6;"На рассмотрении";973109;"20.06.2026 в 15:20"
188;6;"—";261;"97 64 94";6;"Участвуете в конкурсе";1424713;"01.07.2026 в 17:25"
189;2;"—";261;"82 83 89";7;"Участвуете в конкурсе";1363973;"30.06.2026 в 22:45"
190;4;"—";261;"78 93 83";7;"Участвуете в конкурсе";1368827;"01.07.2026 в 04:56"
191;2;"Электронное";261;"82 83 86";10;"Участвуете в конкурсе";1213861;"28.06.2026 в 23:04"
192;4;"—";261;"90 72 89";10;"Участвуете в конкурсе";1250438;"30.06.2026 в 15:22"
193;3;"—";260;"88 83 89";0;"На рассмотрении";997910;"03.07.2026 в 19:34"
194;4;"—";260;"84 85 91";0;"На рассмотрении";1268023;"29.06.2026 в 21:53"
195;4;"—";260;"92 85 83";0;"На рассмотрении";1460986;"02.07.2026 в 10:35"
196;3;"—";260;"86 85 89";0;"На рассмотрении";1481735;"02.07.2026 в 13:46"
197;3;"—";260;"84 93 83";0;"На рассмотрении";1498575;"02.07.2026 в 16:30"
198;4;"—";260;"82 100 78";0;"На рассмотрении";1512005;"02.07.2026 в 20:07"
199;2;"—";260;"86 83 91";0;"На рассмотрении";1568727;"03.07.2026 в 18:26"
200;6;"—";260;"84 85 91";0;"На рассмотрении";1580433;"03.07.2026 в 20:37"
201;7;"—";260;"84 95 81";0;"На рассмотрении";1621297;"04.07.2026 в 19:14"
202;1;"Электронное";260;"86 88 86";0;"Передано в вуз";1631768;"05.07.2026 в 10:54"
203;4;"—";260;"84 90 86";0;"Передано в вуз";1632328;"05.07.2026 в 11:20"
204;4;"—";260;"88 85 86";1;"На рассмотрении";1199611;"03.07.2026 в 18:15"
205;5;"—";260;"90 88 81";1;"Участвуете в конкурсе";1307191;"30.06.2026 в 10:46"
206;5;"—";260;"94 95 70";1;"На рассмотрении";1512824;"04.07.2026 в 21:27"
207;5;"Электронное";260;"94 83 81";2;"Участвуете в конкурсе";1261506;"29.06.2026 в 21:45"
208;3;"—";260;"90 78 86";6;"Участвуете в конкурсе";1248476;"29.06.2026 в 21:28"
209;4;"—";260;"78 85 91";6;"На рассмотрении";1341335;"02.07.2026 в 16:20"
210;4;"—";260;"90 85 78";7;"Участвуете в конкурсе";1241208;"29.06.2026 в 21:19"
211;4;"—";260;"80 90 83";7;"Участвуете в конкурсе";1286472;"29.06.2026 в 22:05"
212;1;"—";259;"88 85 86";0;"Участвуете в конкурсе";1173257;"01.07.2026 в 17:32"
213;5;"—";259;"86 95 78";0;"Участвуете в конкурсе";1209801;"28.06.2026 в 20:59"
214;1;"—";259;"86 90 83";0;"Участвуете в конкурсе";1236454;"30.06.2026 в 19:11"
215;4;"—";259;"90 83 86";0;"Участвуете в конкурсе";1290326;"29.06.2026 в 23:27"
216;3;"—";259;"86 90 83";0;"Участвуете в конкурсе";1315435;"30.06.2026 в 12:05"
217;3;"Электронное";259;"86 95 78";0;"На рассмотрении";1567300;"03.07.2026 в 18:20"
218;3;"—";259;"80 88 91";0;"На рассмотрении";1577968;"03.07.2026 в 19:31"
219;5;"Электронное";259;"86 85 83";5;"На рассмотрении";1456749;"02.07.2026 в 09:48"
220;6;"—";259;"92 88 73";6;"На рассмотрении";1121333;"03.07.2026 в 13:57"
221;2;"—";259;"84 83 86";6;"Участвуете в конкурсе";1176733;"27.06.2026 в 18:57"
222;4;"—";259;"82 85 86";6;"Участвуете в конкурсе";1258665;"29.06.2026 в 21:41"
223;8;"—";259;"95 72 86";6;"Участвуете в конкурсе";1265504;"29.06.2026 в 21:50"
224;2;"—";259;"78 84 91";6;"Участвуете в конкурсе";1279980;"29.06.2026 в 21:59"
225;3;"—";259;"82 90 81";6;"Участвуете в конкурсе";1326209;"30.06.2026 в 13:54"
226;6;"—";259;"88 90 75";6;"Участвуете в конкурсе";1346803;"01.07.2026 в 17:53"
227;6;"—";259;"82 85 86";6;"Участвуете в конкурсе";1428637;"01.07.2026 в 18:26"
228;4;"—";259;"86 85 81";7;"Участвуете в конкурсе";1206914;"28.06.2026 в 19:28"
229;1;"—";258;"92 85 81";0;"Участвуете в конкурсе";1259728;"29.06.2026 в 21:42"
230;2;"—";258;"90 95 73";0;"Участвуете в конкурсе";1312244;"30.06.2026 в 11:35"
231;7;"Электронное";258;"84 88 86";0;"Участвуете в конкурсе";1400181;"01.07.2026 в 13:21"
232;5;"Электронное";258;"82 90 86";0;"Участвуете в конкурсе";1430477;"01.07.2026 в 18:57"
233;5;"—";258;"84 83 91";0;"Участвуете в конкурсе";1431274;"01.07.2026 в 19:11"
234;4;"—";258;"84 83 91";0;"На рассмотрении";1507348;"02.07.2026 в 18:38"
235;2;"—";258;"84 93 81";0;"На рассмотрении";1514523;"02.07.2026 в 20:58"
236;3;"—";258;"86 78 94";0;"На рассмотрении";1516461;"02.07.2026 в 21:41"
237;6;"—";258;"95 80 83";0;"На рассмотрении";1587200;"04.07.2026 в 02:01"
238;2;"—";258;"92 88 78";0;"На рассмотрении";1610719;"04.07.2026 в 16:11"
239;5;"—";258;"82 93 83";0;"На рассмотрении";1621499;"04.07.2026 в 19:20"
240;2;"—";258;"88 86 83";1;"Участвуете в конкурсе";1190439;"28.06.2026 в 12:39"
241;4;"—";258;"80 88 89";1;"Участвуете в конкурсе";1313965;"30.06.2026 в 11:51"
242;6;"—";258;"88 80 89";1;"На рассмотрении";1506235;"02.07.2026 в 18:18"
243;7;"—";258;"86 85 86";1;"На рассмотрении";1535406;"03.07.2026 в 10:31"
244;5;"—";258;"86 85 86";1;"На рассмотрении";1617978;"04.07.2026 в 17:26"
245;4;"—";258;"84 90 78";6;"Участвуете в конкурсе";1205424;"28.06.2026 в 18:48"
246;2;"—";258;"86 83 83";6;"На рассмотрении";1603967;"04.07.2026 в 12:35"
247;4;"—";258;"90 72 89";7;"Участвуете в конкурсе";1389728;"01.07.2026 в 11:47"
248;3;"—";258;"80 88 83";7;"Участвуете в конкурсе";1436350;"01.07.2026 в 20:42"
249;7;"—";257;"84 90 83";0;"Участвуете в конкурсе";1212475;"28.06.2026 в 22:12"
250;1;"—";257;"86 88 83";0;"Участвуете в конкурсе";1244745;"29.06.2026 в 21:23"
251;5;"—";257;"86 90 81";0;"Участвуете в конкурсе";1263440;"29.06.2026 в 21:48"
252;5;"—";257;"86 85 86";0;"На рассмотрении";1282431;"30.06.2026 в 15:17"
253;1;"—";257;"92 95 70";0;"Участвуете в конкурсе";1385051;"01.07.2026 в 11:04"
254;3;"Электронное";257;"86 85 86";0;"Участвуете в конкурсе";1431697;"01.07.2026 в 19:19"
255;4;"—";257;"90 78 89";0;"На рассмотрении";1500123;"02.07.2026 в 16:48"
256;2;"—";257;"94 85 78";0;"На рассмотрении";1511050;"02.07.2026 в 19:50"
257;6;"—";257;"92 90 75";0;"На рассмотрении";1542655;"03.07.2026 в 14:04"
258;7;"—";257;"92 93 72";0;"На рассмотрении";1559195;"03.07.2026 в 17:44"
259;3;"—";257;"86 93 78";0;"На рассмотрении";1592353;"04.07.2026 в 10:00"
260;5;"—";257;"84 90 83";0;"На рассмотрении";1601501;"04.07.2026 в 11:57"
261;2;"—";257;"86 88 83";0;"На рассмотрении";1624639;"04.07.2026 в 21:26"
262;3;"—";257;"78 96 83";0;"Передано в вуз";1631437;"05.07.2026 в 10:38"
263;2;"—";257;"88 85 83";1;"Участвуете в конкурсе";1263045;"29.06.2026 в 21:47"
264;1;"—";257;"88 85 83";1;"Участвуете в конкурсе";1354937;"30.06.2026 в 19:34"
265;3;"Электронное";257;"82 80 94";1;"Участвуете в конкурсе";1429281;"01.07.2026 в 18:37"
266;7;"—";257;"84 94 78";1;"На рассмотрении";1540646;"03.07.2026 в 14:00"
267;4;"Электронное";257;"84 83 89";1;"На рассмотрении";1608684;"04.07.2026 в 13:54"
268;3;"—";257;"80 93 83";1;"На рассмотрении";1617815;"04.07.2026 в 17:22"
269;5;"Электронное";257;"78 90 83";6;"На рассмотрении";1261726;"03.07.2026 в 13:56"
270;5;"—";257;"78 90 83";6;"Участвуете в конкурсе";1434589;"01.07.2026 в 20:11"
271;3;"—";257;"78 83 89";7;"Участвуете в конкурсе";1242331;"29.06.2026 в 21:20"
272;6;"Электронное";256;"86 95 75";0;"Участвуете в конкурсе";941740;"20.06.2026 в 07:10"
273;4;"—";256;"84 78 94";0;"Участвуете в конкурсе";1183240;"29.06.2026 в 21:56"
274;6;"—";256;"82 85 89";0;"Участвуете в конкурсе";1185056;"28.06.2026 в 09:24"
275;4;"—";256;"88 85 83";0;"Участвуете в конкурсе";1193588;"28.06.2026 в 13:55"
276;1;"—";256;"88 82 86";0;"Участвуете в конкурсе";1201219;"28.06.2026 в 16:54"
277;5;"—";256;"92 83 81";0;"Участвуете в конкурсе";1326717;"30.06.2026 в 13:59"
278;2;"—";256;"82 93 81";0;"Участвуете в конкурсе";1340562;"30.06.2026 в 16:01"
279;3;"—";256;"86 92 78";0;"Участвуете в конкурсе";1427165;"01.07.2026 в 18:02"
280;6;"—";256;"88 90 78";0;"Участвуете в конкурсе";1429330;"01.07.2026 в 18:38"
281;4;"—";256;"90 88 78";0;"На рассмотрении";1478345;"02.07.2026 в 13:15"
282;5;"—";256;"80 95 81";0;"На рассмотрении";1486880;"02.07.2026 в 14:38"
283;7;"—";256;"88 90 78";0;"На рассмотрении";1562886;"03.07.2026 в 18:02"
284;4;"—";256;"82 85 89";0;"На рассмотрении";1593042;"04.07.2026 в 09:41"
